file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
HST-MW04488-2562113.fastq.gz	FASTQ	DNA	1201118	90609615	25	75.4	123	44.0	70.0	112.0	0	99	17	96.91	92.49	25.56	56.71
HST-MW04720-2562110.fastq.gz	FASTQ	DNA	1316869	97940029	25	74.4	123	43.0	68.0	110.0	0	95	21	96.80	92.35	25.43	56.47
HST-MW04726-2562119.fastq.gz	FASTQ	DNA	1321383	90581543	25	68.6	123	40.0	60.0	95.0	0	85	31	96.65	92.20	25.24	56.11
HST-MW04726-2583998.fastq.gz	FASTQ	DNA	1034086	71601388	25	69.2	123	40.0	61.0	98.0	0	87	29	97.07	92.80	25.77	54.56
HST-SS170814-01-2562208.fastq.gz	FASTQ	DNA	1351979	108539202	25	80.3	123	48.0	78.0	123.0	0	107	9	96.76	92.06	25.37	51.73
HST-SS170814-01-2584010.fastq.gz	FASTQ	DNA	1028278	79836552	25	77.6	123	45.0	73.0	123.0	0	103	13	96.82	92.27	25.45	54.27
HST-SS170820-02-2892469.fastq.gz	FASTQ	DNA	1272831	103116058	25	81.0	123	49.0	79.0	123.0	0	108	8	96.91	92.53	25.57	56.97
HST-VU116-2892391.fastq.gz	FASTQ	DNA	1212240	103164165	25	85.1	123	53.0	87.0	123.0	0	123	1	97.18	92.84	25.92	54.21
HST-VU127-2562116.fastq.gz	FASTQ	DNA	1252409	94067973	25	75.1	123	43.0	70.0	123.0	0	98	18	96.65	92.04	25.24	56.74
HST-VU135-2892457.fastq.gz	FASTQ	DNA	1133671	95228371	25	84.0	123	52.0	85.0	123.0	0	113	3	96.95	92.47	25.60	50.00
HST-VU141-2562238.fastq.gz	FASTQ	DNA	1011696	81283933	25	80.3	123	48.0	78.0	123.0	0	107	9	96.43	91.04	24.97	53.92
HST-VU143-2892418.fastq.gz	FASTQ	DNA	1230784	98492082	25	80.0	123	48.0	77.0	123.0	0	107	9	96.49	91.67	25.05	54.46
HST-VU38-2892414.fastq.gz	FASTQ	DNA	1283826	105582432	25	82.2	123	50.0	82.0	123.0	0	111	5	96.23	91.30	24.77	53.98
