Genus,Species,id,Region,Locality,Country,Lat,Long,Pop,DART,Notes,Order no.,collection date,sex,latitude,lat (M),lat (DD),longitude,long (M),long (DD)
Aipysurus,laevis,R29880,Gulf of Carpentaria,Bathurst Island,Australia,,,,,,DNote22-7151,,,,,-16.373083,,,138.470617
Aipysurus,laevis,R29880,Gulf of Carpentaria,Bathurst Island,Australia,,,,Contam,,DNote21-6332,,,,,-16.373083,,,138.470617
Hydrophis,major,R36496,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,27/11/2007,,14,27.12,-14.452,136,35.017,136.5836167
Hydrophis,major,R36640,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,11/11/2007,,14,25.4,-14.42333333,136,26.9,136.4483333
Hydrophis,major,R36656,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,11/11/2007,,14,25.3,-14.42166667,136,28.2,136.47
Hydrophis,major,R36660,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,16/11/2007,,14,25.2,-14.42,136,26.1,136.435
Aipysurus,laevis,R36967,Gulf of Carpentaria,Groote Eylandt,Australia,,,,yes,,DNote22-7151,,,,,-14.426667,,,136.47
Aipysurus,laevis,R36974,Gulf of Carpentaria,Groote Eylandt,Australia,,,,yes,,DNote22-7151,,,,,-14.465,,,136.518333
Hydrophis,major,R36982,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,14/11/2007,,14,24.6,-14.41,136,26.9,136.4483333
Aipysurus,laevis,R37003,Gulf of Carpentaria,Groote Eylandt,Australia,,,,yes,,DNote22-7151,,,,,-14.42,,,136.471667
Hydrophis,major,R37004,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,failed,low quality,DNote20-5178,14/11/2009,,14,24.6,-14.41,136,26.9,136.4483333
Hydrophis,major,R37005,Gulf of Carpentaria,South of Groote Eylandt,Australia,,,,yes,,DNote20-5178,14/11/2009,,14,25.9,-14.43166667,136,26.9,136.4483333
Aipysurus,laevis,R37010,Gulf of Carpentaria,Groote Eylandt,Australia,,,,yes,,DNote22-7151,,,,,-14.013333,,,136.991667
Hydrophis,major,R37023,Gulf of Carpentaria,"The Border, E of Sir Edward Pellew Group",Australia,,,,failed,low quality,DNote20-5178,28/9/2009,,15,41,-15.68333333,138,0,138
